id,car_name,yr_mfr,fuel_type,kms_run,sale_price,body_type,transmission,make,model,total_owners,orginal_price,reserved,warranty_avail,paint,damage,no_of_service,bs
1,maruti swift,2015,petrol,8063,355487,hatchback,manual,maruti,swift,2,373265,FALSE,FALSE,Yes,Yes,1,1
2,maruti alto 800,2016,petrol,23104,265499,hatchback,manual,maruti,alto 800,1,354313,FALSE,FALSE,Yes,No,2,3
3,hyundai grand i10,2017,petrol,23402,492029,hatchback,manual,hyundai,grand i10,1,,FALSE,FALSE,No,No,0,3
4,maruti swift,2013,diesel,39124,317238,hatchback,manual,maruti,swift,1,383565,FALSE,FALSE,No,Yes,5,3
5,hyundai grand i10,2015,petrol,22116,386803,hatchback,manual,hyundai,grand i10,1,392520,FALSE,FALSE,No,No,4,3
6,maruti alto k10,2018,petrol,23534,335299,hatchback,,maruti,alto k10,1,439056,FALSE,FALSE,Yes,No,3,2
7,maruti ritz,2012,diesel,41213,293278,hatchback,manual,maruti,ritz,1,,FALSE,FALSE,No,No,0,4
8,hyundai i20,2012,petrol,38328,331143,hatchback,manual,hyundai,i20,3,420408,FALSE,FALSE,Yes,No,4,4
9,hyundai elite i20,2014,diesel,56402,474446,hatchback,manual,hyundai,elite i20,1,584370,FALSE,FALSE,No,No,2,2
10,renault kwid,2018,petrol,32703,298176,hatchback,manual,renault,kwid,1,361004,FALSE,FALSE,No,No,2,4
11,maruti alto 800,2014,petrol,53180,200692,hatchback,manual,maruti,alto 800,1,200898,FALSE,FALSE,No,Yes,0,2
12,hyundai i10,2008,petrol,44219,183017,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,Yes,Yes,1,3
13,hyundai i20,2012,diesel,55764,296638,hatchback,manual,hyundai,i20,2,364870,FALSE,FALSE,Yes,No,5,3
14,honda brio,2012,petrol,58581,242769,hatchback,manual,honda,brio,1,314629,FALSE,FALSE,Yes,No,5,3
15,hyundai i10,2011,petrol,49761,201274,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,Yes,Yes,3,4
16,honda city,2010,petrol,63808,301157,sedan,manual,honda,city,1,361606,FALSE,FALSE,Yes,No,2,2
17,hyundai i10,2011,petrol,70126,215423,hatchback,manual,hyundai,i10,1,282660,FALSE,FALSE,No,Yes,0,4
18,hyundai eon,2013,petrol,49817,203885,hatchback,manual,hyundai,eon,1,,FALSE,FALSE,Yes,Yes,0,4
19,maruti swift,2015,diesel,62806,396499,hatchback,manual,maruti,swift,1,515526,FALSE,FALSE,No,Yes,3,2
20,honda brio,2015,petrol,58396,368242,hatchback,manual,honda,brio,2,426424,FALSE,FALSE,No,No,2,4
21,hyundai eon,2014,petrol,59559,199309,hatchback,manual,hyundai,eon,1,261858,FALSE,FALSE,Yes,Yes,4,1
22,hyundai verna,2012,diesel,68355,366895,sedan,manual,hyundai,verna,1,435676,FALSE,FALSE,Yes,Yes,1,1
23,maruti ritz,2010,petrol,82078,207099,hatchback,manual,maruti,ritz,1,257586,FALSE,FALSE,Yes,No,2,3
24,maruti swift,2013,diesel,66350,324766,hatchback,manual,maruti,swift,1,,FALSE,FALSE,Yes,No,3,4
25,maruti alto,2010,petrol,56231,179189,hatchback,manual,maruti,alto,2,,FALSE,FALSE,No,Yes,3,1
26,hyundai i20,2010,petrol,72985,214037,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,Yes,Yes,2,2
27,hyundai santro xing,2009,petrol,79244,156654,hatchback,manual,hyundai,santro xing,1,168905,FALSE,FALSE,Yes,Yes,3,2
28,maruti swift,2014,petrol,71876,397492,hatchback,manual,maruti,swift,1,488491,FALSE,FALSE,No,Yes,2,5
29,maruti swift dzire,2011,petrol,90479,224299,sedan,manual,maruti,swift dzire,1,282096,FALSE,FALSE,Yes,No,3,2
30,ford ecosport,2013,diesel,66940,428974,suv,manual,ford,ecosport,1,503859,FALSE,FALSE,No,No,5,3
31,maruti swift dzire,2013,diesel,80394,309224,sedan,manual,maruti,swift dzire,1,385717,FALSE,FALSE,Yes,Yes,2,1
32,maruti swift dzire,2012,diesel,77954,303830,sedan,manual,maruti,swift dzire,2,366600,FALSE,FALSE,Yes,Yes,4,5
33,nissan sunny,2012,petrol,82364,304324,sedan,manual,nissan,sunny,1,349327,FALSE,FALSE,No,No,1,5
34,hyundai xcent,2014,diesel,66743,265247,sedan,manual,hyundai,xcent,1,,FALSE,FALSE,Yes,Yes,5,1
35,maruti ritz,2012,diesel,114402,221838,hatchback,manual,maruti,ritz,1,,FALSE,FALSE,No,Yes,1,1
36,hyundai i20,2012,diesel,83767,266394,hatchback,manual,hyundai,i20,1,352016,FALSE,FALSE,No,No,4,5
37,toyota etios liva,2012,diesel,87914,247658,hatchback,manual,toyota,etios liva,1,330123,FALSE,FALSE,Yes,Yes,1,2
38,maruti swift,2013,diesel,74429,314499,hatchback,manual,maruti,swift,2,365244,FALSE,FALSE,No,Yes,4,1
39,maruti swift,2014,diesel,81137,407989,hatchback,manual,maruti,swift,2,485494,FALSE,FALSE,No,No,5,2
40,hyundai i20,2012,diesel,85689,296253,hatchback,manual,hyundai,i20,1,371573,FALSE,FALSE,Yes,Yes,5,3
41,hyundai santro xing,2011,petrol,139038,160534,hatchback,manual,hyundai,santro xing,1,,FALSE,FALSE,Yes,Yes,3,4
42,hyundai grand i10,2013,petrol,82328,368042,hatchback,manual,hyundai,grand i10,1,,FALSE,FALSE,Yes,No,2,4
43,hyundai verna,2015,diesel,87238,548125,sedan,manual,hyundai,verna,1,685984,FALSE,FALSE,Yes,No,4,2
44,maruti swift dzire,2010,petrol,95236,204523,sedan,manual,maruti,swift dzire,2,267695,FALSE,FALSE,Yes,No,2,4
45,maruti alto k10,2012,petrol,92532,222066,hatchback,manual,maruti,alto k10,1,,FALSE,FALSE,No,Yes,3,5
46,maruti celerio,2016,petrol & cng,104962,342823,hatchback,manual,maruti,celerio,1,383097,FALSE,FALSE,No,No,3,2
47,maruti baleno,2016,diesel,88453,578546,hatchback,manual,maruti,baleno,1,736301,FALSE,FALSE,No,No,2,4
48,maruti swift dzire,2013,diesel,77823,402419,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,No,No,0,3
49,maruti swift dzire,2013,diesel,82016,274399,sedan,manual,maruti,swift dzire,2,353776,FALSE,FALSE,Yes,No,2,3
50,hyundai i20,2012,diesel,112314,306590,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,No,Yes,4,5
51,maruti swift dzire,2013,diesel,96826,356326,sedan,manual,maruti,swift dzire,1,449811,FALSE,FALSE,No,Yes,2,4
52,maruti swift,2015,diesel,91280,413506,hatchback,manual,maruti,swift,1,,FALSE,FALSE,No,Yes,4,3
53,maruti swift,2015,diesel,92527,380356,hatchback,manual,maruti,swift,1,474707,FALSE,FALSE,Yes,No,5,2
54,hyundai new elantra,2013,diesel,81971,604299,luxury sedan,manual,hyundai,new elantra,1,662351,FALSE,FALSE,Yes,No,4,1
55,hyundai i20,2012,diesel,118130,265195,hatchback,manual,hyundai,i20,3,299436,FALSE,FALSE,No,No,5,4
56,maruti swift,2014,diesel,124969,367999,hatchback,manual,maruti,swift,1,486770,FALSE,FALSE,No,Yes,3,2
57,maruti swift,2011,diesel,133175,294982,hatchback,manual,maruti,swift,1,336526,FALSE,FALSE,No,No,0,2
